created_at,entry_id,field1,field2
2026-02-05 04:58:30 UTC,1,28.90000,52.50000
2026-02-05 04:58:51 UTC,2,29.00000,55.00000
2026-02-05 04:59:12 UTC,3,29.60000,54.80000
2026-02-05 04:59:52 UTC,4,29.80000,56.70000
2026-02-05 05:00:13 UTC,5,30.70000,60.00000
2026-02-05 05:00:35 UTC,6,31.20000,59.10000
2026-02-05 05:00:56 UTC,7,31.60000,58.60000
2026-02-05 05:01:18 UTC,8,32.00000,55.30000
2026-02-05 05:01:39 UTC,9,32.30000,54.50000
2026-02-05 05:02:10 UTC,10,32.50000,53.40000
2026-02-05 05:02:31 UTC,11,32.60000,52.60000
2026-02-05 05:02:53 UTC,12,32.60000,52.80000
2026-02-05 05:03:14 UTC,13,32.50000,51.10000
2026-02-05 05:03:35 UTC,14,32.10000,50.20000
2026-02-05 05:03:57 UTC,15,31.60000,51.80000
2026-02-05 05:04:18 UTC,16,31.20000,52.50000
2026-02-05 05:04:39 UTC,17,30.80000,52.70000
2026-02-05 05:05:01 UTC,18,30.50000,52.80000
2026-02-05 05:05:35 UTC,19,30.00000,53.70000
2026-02-05 05:05:57 UTC,20,29.90000,53.70000
2026-02-05 05:06:18 UTC,21,29.70000,53.80000
2026-02-05 05:06:40 UTC,22,29.50000,54.70000
